TxnDate,AccountNumber,AccountName,Currency,Debit,Credit
2023-12-31,4000,Revenues,USD,0.0,3000.0
2023-12-31,1100,Accounts Receivable,USD,3000.0,0.0
2023-12-31,5000,Cost of Goods Sold,USD,1800.0,0.0
2023-12-31,2000,Accounts Payable,USD,0.0,1800.0
2023-12-31,6100,Distribution Expenses,USD,150.0,0.0
2023-12-31,1010,Cash,USD,0.0,150.0
2023-12-31,6200,Marketing and Administration,USD,350.0,0.0
2023-12-31,1010,Cash,USD,0.0,350.0
2023-12-31,6300,Research and Development,USD,120.0,0.0
2023-12-31,1010,Cash,USD,0.0,120.0
2023-12-31,6500,Depreciation Expense,USD,60.0,0.0
2023-12-31,1590,Accumulated Depreciation,USD,0.0,60.0
2023-12-31,6600,Interest Expense,USD,30.0,0.0
2023-12-31,1010,Cash,USD,0.0,30.0
2024-12-31,4000,Revenues,USD,0.0,3150.0
2024-12-31,1100,Accounts Receivable,USD,3150.0,0.0
2024-12-31,5000,Cost of Goods Sold,USD,1860.0,0.0
2024-12-31,2000,Accounts Payable,USD,0.0,1860.0
2024-12-31,6100,Distribution Expenses,USD,160.0,0.0
2024-12-31,1010,Cash,USD,0.0,160.0
2024-12-31,6200,Marketing and Administration,USD,360.0,0.0
2024-12-31,1010,Cash,USD,0.0,360.0
2024-12-31,6300,Research and Development,USD,125.0,0.0
2024-12-31,1010,Cash,USD,0.0,125.0
2024-12-31,6500,Depreciation Expense,USD,65.0,0.0
2024-12-31,1590,Accumulated Depreciation,USD,0.0,65.0
2024-12-31,6600,Interest Expense,USD,28.0,0.0
2024-12-31,1010,Cash,USD,0.0,28.0
2025-12-31,4000,Revenues,USD,0.0,3300.0
2025-12-31,1100,Accounts Receivable,USD,3300.0,0.0
2025-12-31,5000,Cost of Goods Sold,USD,1935.0,0.0
2025-12-31,2000,Accounts Payable,USD,0.0,1935.0
2025-12-31,6100,Distribution Expenses,USD,165.0,0.0
2025-12-31,1010,Cash,USD,0.0,165.0
2025-12-31,6200,Marketing and Administration,USD,370.0,0.0
2025-12-31,1010,Cash,USD,0.0,370.0
2025-12-31,6300,Research and Development,USD,130.0,0.0
2025-12-31,1010,Cash,USD,0.0,130.0
2025-12-31,6500,Depreciation Expense,USD,70.0,0.0
2025-12-31,1590,Accumulated Depreciation,USD,0.0,70.0
2025-12-31,6600,Interest Expense,USD,26.0,0.0
2025-12-31,1010,Cash,USD,0.0,26.0
