TxnDate,AccountNumber,AccountName,Currency,Debit,Credit
2022-12-31,1010,Cash,USD,510.0,0.0
2022-12-31,1100,Accounts Receivable,USD,200.0,0.0
2022-12-31,1200,Inventory,USD,150.0,0.0
2022-12-31,1300,Prepaid Expenses,USD,30.0,0.0
2022-12-31,1400,Other Current Assets,USD,20.0,0.0
2022-12-31,1500,"Property, Plant & Equipment - Gross",USD,800.0,0.0
2022-12-31,1590,Accumulated Depreciation,USD,0.0,300.0
2022-12-31,2000,Accounts Payable,USD,0.0,180.0
2022-12-31,2100,Accrued Payroll,USD,0.0,40.0
2022-12-31,2200,Deferred Revenue,USD,0.0,50.0
2022-12-31,2300,Interest Payable,USD,0.0,5.0
2022-12-31,2400,Other Current Liabilities,USD,0.0,25.0
2022-12-31,2410,Income Taxes Payable,USD,0.0,10.0
2022-12-31,2500,Long-Term Debt,USD,0.0,400.0
2022-12-31,3000,Common Stock and APIC,USD,0.0,500.0
2022-12-31,3100,Retained Earnings,USD,0.0,200.0
2023-12-31,1010,Cash,USD,759.3,0.0
2023-12-31,1100,Accounts Receivable,USD,230.0,0.0
2023-12-31,1200,Inventory,USD,160.0,0.0
2023-12-31,1300,Prepaid Expenses,USD,32.0,0.0
2023-12-31,1400,Other Current Assets,USD,22.0,0.0
2023-12-31,1500,"Property, Plant & Equipment - Gross",USD,880.0,0.0
2023-12-31,1590,Accumulated Depreciation,USD,0.0,360.0
2023-12-31,2000,Accounts Payable,USD,0.0,190.0
2023-12-31,2100,Accrued Payroll,USD,0.0,42.0
2023-12-31,2200,Deferred Revenue,USD,0.0,55.0
2023-12-31,2300,Interest Payable,USD,0.0,6.0
2023-12-31,2400,Other Current Liabilities,USD,0.0,26.0
2023-12-31,2410,Income Taxes Payable,USD,0.0,12.0
2023-12-31,2500,Long-Term Debt,USD,0.0,390.0
2023-12-31,3000,Common Stock and APIC,USD,0.0,500.0
2023-12-31,3100,Retained Earnings,USD,0.0,502.3
2024-12-31,1010,Cash,USD,1101.84,0.0
2024-12-31,1100,Accounts Receivable,USD,220.0,0.0
2024-12-31,1200,Inventory,USD,165.0,0.0
2024-12-31,1300,Prepaid Expenses,USD,33.0,0.0
2024-12-31,1400,Other Current Assets,USD,23.0,0.0
2024-12-31,1500,"Property, Plant & Equipment - Gross",USD,950.0,0.0
2024-12-31,1590,Accumulated Depreciation,USD,0.0,425.0
2024-12-31,2000,Accounts Payable,USD,0.0,195.0
2024-12-31,2100,Accrued Payroll,USD,0.0,44.0
2024-12-31,2200,Deferred Revenue,USD,0.0,58.0
2024-12-31,2300,Interest Payable,USD,0.0,5.5
2024-12-31,2400,Other Current Liabilities,USD,0.0,27.0
2024-12-31,2410,Income Taxes Payable,USD,0.0,11.0
2024-12-31,2500,Long-Term Debt,USD,0.0,380.0
2024-12-31,3000,Common Stock and APIC,USD,0.0,500.0
2024-12-31,3100,Retained Earnings,USD,0.0,847.34
2025-12-31,1010,Cash,USD,1459.42,0.0
2025-12-31,1100,Accounts Receivable,USD,235.0,0.0
2025-12-31,1200,Inventory,USD,170.0,0.0
2025-12-31,1300,Prepaid Expenses,USD,34.0,0.0
2025-12-31,1400,Other Current Assets,USD,24.0,0.0
2025-12-31,1500,"Property, Plant & Equipment - Gross",USD,1020.0,0.0
2025-12-31,1590,Accumulated Depreciation,USD,0.0,495.0
2025-12-31,2000,Accounts Payable,USD,0.0,200.0
2025-12-31,2100,Accrued Payroll,USD,0.0,45.0
2025-12-31,2200,Deferred Revenue,USD,0.0,60.0
2025-12-31,2300,Interest Payable,USD,0.0,5.0
2025-12-31,2400,Other Current Liabilities,USD,0.0,28.0
2025-12-31,2410,Income Taxes Payable,USD,0.0,12.0
2025-12-31,2500,Long-Term Debt,USD,0.0,370.0
2025-12-31,3000,Common Stock and APIC,USD,0.0,500.0
2025-12-31,3100,Retained Earnings,USD,0.0,1227.42
