TxnDate,TransactionID,AccountNumber,AccountName,Debit,Credit,Currency
2020-01-01,TXN-20200101-000000,1010,Cash,80000.0,0.0,USD
2020-01-01,TXN-20200101-000000,1100,Accounts Receivable,15000.0,0.0,USD
2020-01-01,TXN-20200101-000000,1200,Inventory,25000.0,0.0,USD
2020-01-01,TXN-20200101-000000,1300,Prepaid Expenses,3000.0,0.0,USD
2020-01-01,TXN-20200101-000000,1500,"Property, Plant & Equipment",60000.0,0.0,USD
2020-01-01,TXN-20200101-000000,1510,Accumulated Depreciation,0.0,10000.0,USD
2020-01-01,TXN-20200101-000000,2000,Accounts Payable,0.0,18000.0,USD
2020-01-01,TXN-20200101-000000,2100,Accrued Liabilities,0.0,5000.0,USD
2020-01-01,TXN-20200101-000000,2300,Notes Payable,0.0,40000.0,USD
2020-01-01,TXN-20200101-000000,3000,Common Stock,0.0,50000.0,USD
2020-01-01,TXN-20200101-000001,3100,Retained Earnings,0.0,60000.0,USD
2020-01-02,TXN-20200102-000001,1010,Cash,919.35,0.0,USD
2020-01-02,TXN-20200102-000001,1100,Accounts Receivable,0.0,919.35,USD
2020-01-02,TXN-20200102-000001,1200,Inventory,2701.05,0.0,USD
2020-01-02,TXN-20200102-000001,2000,Accounts Payable,0.0,2701.05,USD
2020-01-02,TXN-20200102-000001,2000,Accounts Payable,1159.68,0.0,USD
2020-01-02,TXN-20200102-000001,1010,Cash,0.0,1159.68,USD
2020-01-03,TXN-20200103-000001,1200,Inventory,7048.03,0.0,USD
2020-01-03,TXN-20200103-000001,2000,Accounts Payable,0.0,7048.03,USD
2020-01-03,TXN-20200103-000001,2000,Accounts Payable,1096.05,0.0,USD
2020-01-03,TXN-20200103-000002,1010,Cash,0.0,1096.05,USD
2020-01-04,TXN-20200104-000002,1100,Accounts Receivable,658.29,0.0,USD
2020-01-04,TXN-20200104-000002,4001,Revenue,0.0,608.12,USD
2020-01-04,TXN-20200104-000002,2200,Sales Tax Payable,0.0,50.17,USD
2020-01-04,TXN-20200104-000002,5000,Cost of Goods Sold,374.14,0.0,USD
2020-01-04,TXN-20200104-000002,1200,Inventory,0.0,374.14,USD
2020-01-04,TXN-20200104-000002,1010,Cash,1094.26,0.0,USD
2020-01-04,TXN-20200104-000002,4001,Revenue,0.0,1010.86,USD
2020-01-04,TXN-20200104-000002,2200,Sales Tax Payable,0.0,83.4,USD
2020-01-04,TXN-20200104-000002,5000,Cost of Goods Sold,561.46,0.0,USD
2020-01-04,TXN-20200104-000003,1200,Inventory,0.0,561.46,USD
2020-01-04,TXN-20200104-000003,1010,Cash,997.9,0.0,USD
2020-01-04,TXN-20200104-000003,1100,Accounts Receivable,0.0,997.9,USD
2020-01-04,TXN-20200104-000003,1200,Inventory,1202.03,0.0,USD
2020-01-04,TXN-20200104-000003,2000,Accounts Payable,0.0,1202.03,USD
2020-01-05,TXN-20200105-000003,1010,Cash,1463.96,0.0,USD
2020-01-05,TXN-20200105-000003,4001,Revenue,0.0,1352.39,USD
2020-01-05,TXN-20200105-000003,2200,Sales Tax Payable,0.0,111.57,USD
2020-01-05,TXN-20200105-000003,5000,Cost of Goods Sold,852.03,0.0,USD
2020-01-05,TXN-20200105-000003,1200,Inventory,0.0,852.03,USD
2020-01-05,TXN-20200105-000004,1010,Cash,1140.13,0.0,USD
2020-01-05,TXN-20200105-000004,1100,Accounts Receivable,0.0,1140.13,USD
2020-01-05,TXN-20200105-000004,6500,Office Supplies Expense,530.05,0.0,USD
2020-01-05,TXN-20200105-000004,1010,Cash,0.0,530.05,USD
2020-01-06,TXN-20200106-000004,1010,Cash,1247.48,0.0,USD
2020-01-06,TXN-20200106-000004,4001,Revenue,0.0,1152.41,USD
2020-01-06,TXN-20200106-000004,2200,Sales Tax Payable,0.0,95.07,USD
2020-01-06,TXN-20200106-000004,5000,Cost of Goods Sold,674.88,0.0,USD
2020-01-06,TXN-20200106-000004,1200,Inventory,0.0,674.88,USD
2020-01-06,TXN-20200106-000004,1200,Inventory,3004.56,0.0,USD
2020-01-06,TXN-20200106-000005,2000,Accounts Payable,0.0,3004.56,USD
2020-01-06,TXN-20200106-000005,2000,Accounts Payable,1203.03,0.0,USD
2020-01-06,TXN-20200106-000005,1010,Cash,0.0,1203.03,USD
2020-01-06,TXN-20200106-000005,6800,Software Subscriptions Expense,501.13,0.0,USD
2020-01-06,TXN-20200106-000005,1010,Cash,0.0,501.13,USD
2020-01-09,TXN-20200109-000005,1100,Accounts Receivable,1420.62,0.0,USD
2020-01-09,TXN-20200109-000005,4001,Revenue,0.0,1312.35,USD
2020-01-09,TXN-20200109-000005,2200,Sales Tax Payable,0.0,108.27,USD
2020-01-09,TXN-20200109-000005,5000,Cost of Goods Sold,741.74,0.0,USD
2020-01-09,TXN-20200109-000005,1200,Inventory,0.0,741.74,USD
2020-01-09,TXN-20200109-000006,1010,Cash,493.8,0.0,USD
2020-01-09,TXN-20200109-000006,1100,Accounts Receivable,0.0,493.8,USD
2020-01-10,TXN-20200110-000006,1010,Cash,2325.06,0.0,USD
2020-01-10,TXN-20200110-000006,4001,Revenue,0.0,2147.86,USD
2020-01-10,TXN-20200110-000006,2200,Sales Tax Payable,0.0,177.2,USD
2020-01-10,TXN-20200110-000006,5000,Cost of Goods Sold,1312.69,0.0,USD
2020-01-10,TXN-20200110-000006,1200,Inventory,0.0,1312.69,USD
2020-01-10,TXN-20200110-000006,1010,Cash,872.13,0.0,USD
2020-01-10,TXN-20200110-000006,1100,Accounts Receivable,0.0,872.13,USD
2020-01-11,TXN-20200111-000006,1010,Cash,689.73,0.0,USD
2020-01-11,TXN-20200111-000007,4001,Revenue,0.0,637.16,USD
2020-01-11,TXN-20200111-000007,2200,Sales Tax Payable,0.0,52.57,USD
2020-01-11,TXN-20200111-000007,5000,Cost of Goods Sold,366.07,0.0,USD
2020-01-11,TXN-20200111-000007,1200,Inventory,0.0,366.07,USD
2020-01-12,TXN-20200112-000007,1010,Cash,1844.97,0.0,USD
2020-01-12,TXN-20200112-000007,4001,Revenue,0.0,1704.36,USD
2020-01-12,TXN-20200112-000007,2200,Sales Tax Payable,0.0,140.61,USD
2020-01-12,TXN-20200112-000007,5000,Cost of Goods Sold,1019.65,0.0,USD
2020-01-12,TXN-20200112-000007,1200,Inventory,0.0,1019.65,USD
2020-01-12,TXN-20200112-000007,1200,Inventory,830.71,0.0,USD
2020-01-12,TXN-20200112-000008,2000,Accounts Payable,0.0,830.71,USD
2020-01-12,TXN-20200112-000008,2000,Accounts Payable,297.09,0.0,USD
