TxnDate,TransactionID,AccountNumber,AccountName,Debit,Credit,Currency,PeriodEnd,Description
2021-12-31,JE2021_1,1100,Trade and Other Receivables,4900000000.0,0.0,USD,2021-12-31,
2021-12-31,JE2021_1,4000,Revenues,0.0,4900000000.0,USD,2021-12-31,
2021-12-31,JE2021_2,2000,Accounts Payable,0.0,3038000000.0,USD,2021-12-31,
2021-12-31,JE2021_2,5000,Cost of Goods Sold,3038000000.0,0.0,USD,2021-12-31,
2021-12-31,JE2021_3,2000,Accounts Payable,0.0,245000000.0,USD,2021-12-31,
2021-12-31,JE2021_3,5100,Distribution Expenses,245000000.0,0.0,USD,2021-12-31,
2021-12-31,JE2021_4,2000,Accounts Payable,0.0,784000000.0,USD,2021-12-31,
2021-12-31,JE2021_4,5200,Marketing and Administration,784000000.0,0.0,USD,2021-12-31,
2021-12-31,JE2021_5,2000,Accounts Payable,0.0,147000000.0,USD,2021-12-31,
2021-12-31,JE2021_5,5300,Research and Development,147000000.0,0.0,USD,2021-12-31,
2021-12-31,JE2021_6,2000,Accounts Payable,0.0,110000000.0,USD,2021-12-31,
2021-12-31,JE2021_6,6000,Interest Expense,110000000.0,0.0,USD,2021-12-31,
2021-12-31,JE2021_7,1590,Accumulated Depreciation,0.0,280000000.0,USD,2021-12-31,
2021-12-31,JE2021_7,5350,Depreciation Expense,280000000.0,0.0,USD,2021-12-31,
2021-12-31,JE2021_8,1000,Cash,0.0,68376000.0,USD,2021-12-31,
2021-12-31,JE2021_8,3100,Retained Earnings,68376000.0,0.0,USD,2021-12-31,
2021-12-31,TAX-2021-b09116d5,2250,Income Taxes Payable,0.0,68080000.0,,,Provision for income taxes 2021 (offset)
2021-12-31,TAX-2021-b09116d5,6500,Income Tax Expense,68080000.0,0.0,,,Provision for income taxes 2021
2022-12-31,JE2022_1,1100,Trade and Other Receivables,5145000000.0,0.0,USD,2022-12-31,
2022-12-31,JE2022_1,4000,Revenues,0.0,5145000000.0,USD,2022-12-31,
2022-12-31,JE2022_2,2000,Accounts Payable,0.0,3189900000.0,USD,2022-12-31,
2022-12-31,JE2022_2,5000,Cost of Goods Sold,3189900000.0,0.0,USD,2022-12-31,
2022-12-31,JE2022_3,2000,Accounts Payable,0.0,257250000.0,USD,2022-12-31,
2022-12-31,JE2022_3,5100,Distribution Expenses,257250000.0,0.0,USD,2022-12-31,
2022-12-31,JE2022_4,2000,Accounts Payable,0.0,823200000.0,USD,2022-12-31,
2022-12-31,JE2022_4,5200,Marketing and Administration,823200000.0,0.0,USD,2022-12-31,
2022-12-31,JE2022_5,2000,Accounts Payable,0.0,154350000.0,USD,2022-12-31,
2022-12-31,JE2022_5,5300,Research and Development,154350000.0,0.0,USD,2022-12-31,
2022-12-31,JE2022_6,2000,Accounts Payable,0.0,108900000.0,USD,2022-12-31,
2022-12-31,JE2022_6,6000,Interest Expense,108900000.0,0.0,USD,2022-12-31,
2022-12-31,JE2022_7,1590,Accumulated Depreciation,0.0,285600000.0,USD,2022-12-31,
2022-12-31,JE2022_7,5350,Depreciation Expense,285600000.0,0.0,USD,2022-12-31,
2022-12-31,JE2022_8,1000,Cash,0.0,75259800.0,USD,2022-12-31,
2022-12-31,JE2022_8,3100,Retained Earnings,75259800.0,0.0,USD,2022-12-31,
2022-12-31,TAX-2022-68e140ea,2250,Income Taxes Payable,0.0,74934000.0,,,Provision for income taxes 2022 (offset)
2022-12-31,TAX-2022-68e140ea,6500,Income Tax Expense,74934000.0,0.0,,,Provision for income taxes 2022
2023-12-31,JE2023_1,1100,Trade and Other Receivables,5390000000.0,0.0,USD,2023-12-31,
2023-12-31,JE2023_1,4000,Revenues,0.0,5390000000.0,USD,2023-12-31,
2023-12-31,JE2023_2,2000,Accounts Payable,0.0,3341800000.0,USD,2023-12-31,
2023-12-31,JE2023_2,5000,Cost of Goods Sold,3341800000.0,0.0,USD,2023-12-31,
2023-12-31,JE2023_3,2000,Accounts Payable,0.0,269500000.0,USD,2023-12-31,
2023-12-31,JE2023_3,5100,Distribution Expenses,269500000.0,0.0,USD,2023-12-31,
2023-12-31,JE2023_4,2000,Accounts Payable,0.0,862400000.0,USD,2023-12-31,
2023-12-31,JE2023_4,5200,Marketing and Administration,862400000.0,0.0,USD,2023-12-31,
2023-12-31,JE2023_5,2000,Accounts Payable,0.0,161700000.0,USD,2023-12-31,
2023-12-31,JE2023_5,5300,Research and Development,161700000.0,0.0,USD,2023-12-31,
2023-12-31,JE2023_6,2000,Accounts Payable,0.0,107800000.0,USD,2023-12-31,
2023-12-31,JE2023_6,6000,Interest Expense,107800000.0,0.0,USD,2023-12-31,
2023-12-31,JE2023_7,1590,Accumulated Depreciation,0.0,291200000.0,USD,2023-12-31,
2023-12-31,JE2023_7,5350,Depreciation Expense,291200000.0,0.0,USD,2023-12-31,
2023-12-31,JE2023_8,1000,Cash,0.0,82143600.0,USD,2023-12-31,
2023-12-31,JE2023_8,3100,Retained Earnings,82143600.0,0.0,USD,2023-12-31,
2023-12-31,TAX-2023-b2c25404,2250,Income Taxes Payable,0.0,81788000.0,,,Provision for income taxes 2023 (offset)
2023-12-31,TAX-2023-b2c25404,6500,Income Tax Expense,81788000.0,0.0,,,Provision for income taxes 2023
