TxnDate,TransactionID,AccountNumber,AccountName,Debit,Credit,Currency,PeriodEnd
2022-12-31,JE2022_1,1100,Trade and Other Receivables,5000000000.0,0.0,USD,2022-12-31
2022-12-31,JE2022_1,4000,Revenues,0.0,5000000000.0,USD,2022-12-31
2022-12-31,JE2022_2,5000,Cost of Goods Sold,2800000000.0,0.0,USD,2022-12-31
2022-12-31,JE2022_2,2000,Accounts Payable,0.0,2800000000.0,USD,2022-12-31
2022-12-31,JE2022_3,5100,Distribution Expenses,250000000.0,0.0,USD,2022-12-31
2022-12-31,JE2022_3,2000,Accounts Payable,0.0,250000000.0,USD,2022-12-31
2022-12-31,JE2022_4,5200,Marketing and Administration,1000000000.0,0.0,USD,2022-12-31
2022-12-31,JE2022_4,2000,Accounts Payable,0.0,1000000000.0,USD,2022-12-31
2022-12-31,JE2022_5,5300,Research and Development,150000000.0,0.0,USD,2022-12-31
2022-12-31,JE2022_5,2000,Accounts Payable,0.0,150000000.0,USD,2022-12-31
2022-12-31,JE2022_6,6000,Interest Expense,110000000.0,0.0,USD,2022-12-31
2022-12-31,JE2022_6,2000,Accounts Payable,0.0,110000000.0,USD,2022-12-31
2022-12-31,JE2022_7,5350,Depreciation Expense,280000000.0,0.0,USD,2022-12-31
2022-12-31,JE2022_7,1590,Accumulated Depreciation,0.0,280000000.0,USD,2022-12-31
2022-12-31,JE2022_8,3100,Retained Earnings,94710000.0,0.0,USD,2022-12-31
2022-12-31,JE2022_8,1000,Cash,0.0,94710000.0,USD,2022-12-31
2023-12-31,JE2023_1,1100,Trade and Other Receivables,5250000000.0,0.0,USD,2023-12-31
2023-12-31,JE2023_1,4000,Revenues,0.0,5250000000.0,USD,2023-12-31
2023-12-31,JE2023_2,5000,Cost of Goods Sold,2940000000.0,0.0,USD,2023-12-31
2023-12-31,JE2023_2,2000,Accounts Payable,0.0,2940000000.0,USD,2023-12-31
2023-12-31,JE2023_3,5100,Distribution Expenses,262500000.0,0.0,USD,2023-12-31
2023-12-31,JE2023_3,2000,Accounts Payable,0.0,262500000.0,USD,2023-12-31
2023-12-31,JE2023_4,5200,Marketing and Administration,1050000000.0,0.0,USD,2023-12-31
2023-12-31,JE2023_4,2000,Accounts Payable,0.0,1050000000.0,USD,2023-12-31
2023-12-31,JE2023_5,5300,Research and Development,157500000.0,0.0,USD,2023-12-31
2023-12-31,JE2023_5,2000,Accounts Payable,0.0,157500000.0,USD,2023-12-31
2023-12-31,JE2023_6,6000,Interest Expense,108900000.0,0.0,USD,2023-12-31
2023-12-31,JE2023_6,2000,Accounts Payable,0.0,108900000.0,USD,2023-12-31
2023-12-31,JE2023_7,5350,Depreciation Expense,285600000.0,0.0,USD,2023-12-31
2023-12-31,JE2023_7,1590,Accumulated Depreciation,0.0,285600000.0,USD,2023-12-31
2023-12-31,JE2023_8,3100,Retained Earnings,102910500.0,0.0,USD,2023-12-31
2023-12-31,JE2023_8,1000,Cash,0.0,102910500.0,USD,2023-12-31
2024-12-31,JE2024_1,1100,Trade and Other Receivables,5500000000.0,0.0,USD,2024-12-31
2024-12-31,JE2024_1,4000,Revenues,0.0,5500000000.0,USD,2024-12-31
2024-12-31,JE2024_2,5000,Cost of Goods Sold,3080000000.0,0.0,USD,2024-12-31
2024-12-31,JE2024_2,2000,Accounts Payable,0.0,3080000000.0,USD,2024-12-31
2024-12-31,JE2024_3,5100,Distribution Expenses,275000000.0,0.0,USD,2024-12-31
2024-12-31,JE2024_3,2000,Accounts Payable,0.0,275000000.0,USD,2024-12-31
2024-12-31,JE2024_4,5200,Marketing and Administration,1100000000.0,0.0,USD,2024-12-31
2024-12-31,JE2024_4,2000,Accounts Payable,0.0,1100000000.0,USD,2024-12-31
2024-12-31,JE2024_5,5300,Research and Development,165000000.0,0.0,USD,2024-12-31
2024-12-31,JE2024_5,2000,Accounts Payable,0.0,165000000.0,USD,2024-12-31
2024-12-31,JE2024_6,6000,Interest Expense,107800000.0,0.0,USD,2024-12-31
2024-12-31,JE2024_6,2000,Accounts Payable,0.0,107800000.0,USD,2024-12-31
2024-12-31,JE2024_7,5350,Depreciation Expense,291200000.0,0.0,USD,2024-12-31
2024-12-31,JE2024_7,1590,Accumulated Depreciation,0.0,291200000.0,USD,2024-12-31
2024-12-31,JE2024_8,3100,Retained Earnings,111111000.0,0.0,USD,2024-12-31
2024-12-31,JE2024_8,1000,Cash,0.0,111111000.0,USD,2024-12-31
