TxnDate,AccountNumber,AccountName,Currency,Debit,Credit
2021-01-31,1000,Cash,USD,2094544000.0,0.0
2021-01-31,1100,Trade and Other Receivables,USD,1050000000.0,0.0
2021-01-31,1200,Inventories,USD,760000000.0,0.0
2021-01-31,1300,Prepaid Expenses,USD,95000000.0,0.0
2021-01-31,1350,Other Current Assets,USD,190000000.0,0.0
2021-01-31,1500,Property Plant and Equipment - Gross,USD,2850000000.0,0.0
2021-01-31,1590,Accumulated Depreciation,USD,0.0,1330000000.0
2021-01-31,2000,Accounts Payable,USD,0.0,880000000.0
2021-01-31,2100,Accrued Payroll,USD,0.0,190000000.0
2021-01-31,2150,Deferred Revenue,USD,0.0,290000000.0
2021-01-31,2300,Other Current Liabilities,USD,0.0,140000000.0
2021-01-31,2500,Long-Term Debt,USD,0.0,1050000000.0
2021-01-31,3000,Common Stock,USD,0.0,2000000000.0
2021-01-31,3100,Retained Earnings,USD,0.0,1159544000.0
2021-02-28,1000,Cash,USD,2094544000.0,0.0
2021-02-28,1100,Trade and Other Receivables,USD,1050000000.0,0.0
2021-02-28,1200,Inventories,USD,760000000.0,0.0
2021-02-28,1300,Prepaid Expenses,USD,95000000.0,0.0
2021-02-28,1350,Other Current Assets,USD,190000000.0,0.0
2021-02-28,1500,Property Plant and Equipment - Gross,USD,2850000000.0,0.0
2021-02-28,1590,Accumulated Depreciation,USD,0.0,1330000000.0
2021-02-28,2000,Accounts Payable,USD,0.0,880000000.0
2021-02-28,2100,Accrued Payroll,USD,0.0,190000000.0
2021-02-28,2150,Deferred Revenue,USD,0.0,290000000.0
2021-02-28,2300,Other Current Liabilities,USD,0.0,140000000.0
2021-02-28,2500,Long-Term Debt,USD,0.0,1050000000.0
2021-02-28,3000,Common Stock,USD,0.0,2000000000.0
2021-02-28,3100,Retained Earnings,USD,0.0,1159544000.0
2021-03-31,1000,Cash,USD,2094544000.0,0.0
2021-03-31,1100,Trade and Other Receivables,USD,1050000000.0,0.0
2021-03-31,1200,Inventories,USD,760000000.0,0.0
2021-03-31,1300,Prepaid Expenses,USD,95000000.0,0.0
2021-03-31,1350,Other Current Assets,USD,190000000.0,0.0
2021-03-31,1500,Property Plant and Equipment - Gross,USD,2850000000.0,0.0
2021-03-31,1590,Accumulated Depreciation,USD,0.0,1330000000.0
2021-03-31,2000,Accounts Payable,USD,0.0,880000000.0
2021-03-31,2100,Accrued Payroll,USD,0.0,190000000.0
2021-03-31,2150,Deferred Revenue,USD,0.0,290000000.0
2021-03-31,2300,Other Current Liabilities,USD,0.0,140000000.0
2021-03-31,2500,Long-Term Debt,USD,0.0,1050000000.0
2021-03-31,3000,Common Stock,USD,0.0,2000000000.0
2021-03-31,3100,Retained Earnings,USD,0.0,1159544000.0
2021-04-30,1000,Cash,USD,2094544000.0,0.0
