TxnDate,AccountNumber,AccountName,Debit,Credit,Currency
2023-01-01,1010,Cash,80000.0,0.0,USD
2023-01-01,1100,Accounts Receivable,15000.0,0.0,USD
2023-01-01,1200,Inventory,25000.0,0.0,USD
2023-01-01,1300,Prepaid Expenses,3000.0,0.0,USD
2023-01-01,1500,"Property, Plant & Equipment",60000.0,0.0,USD
2023-01-01,1510,Accumulated Depreciation,0.0,10000.0,USD
2023-01-01,2000,Accounts Payable,0.0,18000.0,USD
2023-01-01,2100,Accrued Liabilities,0.0,5000.0,USD
2023-01-01,2300,Notes Payable,0.0,40000.0,USD
2023-01-01,3000,Common Stock,0.0,50000.0,USD
2023-01-01,3100,Retained Earnings,0.0,60000.0,USD
2023-01-02,1010,Cash,919.35,0.0,USD
2023-01-02,1100,Accounts Receivable,0.0,919.35,USD
2023-01-02,1200,Inventory,2701.05,0.0,USD
2023-01-02,2000,Accounts Payable,0.0,2701.05,USD
2023-01-02,2000,Accounts Payable,1159.68,0.0,USD
2023-01-02,1010,Cash,0.0,1159.68,USD
2023-01-03,1200,Inventory,7048.03,0.0,USD
2023-01-03,2000,Accounts Payable,0.0,7048.03,USD
2023-01-03,2000,Accounts Payable,1096.05,0.0,USD
2023-01-03,1010,Cash,0.0,1096.05,USD
2023-01-04,1100,Accounts Receivable,658.29,0.0,USD
2023-01-04,4001,Revenue,0.0,608.12,USD
2023-01-04,2200,Sales Tax Payable,0.0,50.17,USD
2023-01-04,5000,Cost of Goods Sold,374.14,0.0,USD
2023-01-04,1200,Inventory,0.0,374.14,USD
2023-01-04,1010,Cash,1094.26,0.0,USD
2023-01-04,4001,Revenue,0.0,1010.86,USD
2023-01-04,2200,Sales Tax Payable,0.0,83.4,USD
2023-01-04,5000,Cost of Goods Sold,561.46,0.0,USD
2023-01-04,1200,Inventory,0.0,561.46,USD
2023-01-04,1010,Cash,997.9,0.0,USD
2023-01-04,1100,Accounts Receivable,0.0,997.9,USD
2023-01-04,1200,Inventory,1202.03,0.0,USD
2023-01-04,2000,Accounts Payable,0.0,1202.03,USD
2023-01-05,1010,Cash,1463.96,0.0,USD
2023-01-05,4001,Revenue,0.0,1352.39,USD
2023-01-05,2200,Sales Tax Payable,0.0,111.57,USD
2023-01-05,5000,Cost of Goods Sold,852.03,0.0,USD
2023-01-05,1200,Inventory,0.0,852.03,USD
2023-01-05,1010,Cash,1140.13,0.0,USD
2023-01-05,1100,Accounts Receivable,0.0,1140.13,USD
2023-01-05,6500,Office Supplies Expense,530.05,0.0,USD
2023-01-05,1010,Cash,0.0,530.05,USD
2023-01-06,1010,Cash,1247.48,0.0,USD
2023-01-06,4001,Revenue,0.0,1152.41,USD
2023-01-06,2200,Sales Tax Payable,0.0,95.07,USD
2023-01-06,5000,Cost of Goods Sold,674.88,0.0,USD
2023-01-06,1200,Inventory,0.0,674.88,USD
2023-01-06,1200,Inventory,3004.56,0.0,USD
2023-01-06,2000,Accounts Payable,0.0,3004.56,USD
2023-01-06,2000,Accounts Payable,1203.03,0.0,USD
2023-01-06,1010,Cash,0.0,1203.03,USD
2023-01-06,6800,Software Subscriptions Expense,501.13,0.0,USD
2023-01-06,1010,Cash,0.0,501.13,USD
2023-01-09,1100,Accounts Receivable,1420.62,0.0,USD
2023-01-09,4001,Revenue,0.0,1312.35,USD
2023-01-09,2200,Sales Tax Payable,0.0,108.27,USD
2023-01-09,5000,Cost of Goods Sold,741.74,0.0,USD
2023-01-09,1200,Inventory,0.0,741.74,USD
2023-01-09,1010,Cash,493.8,0.0,USD
2023-01-09,1100,Accounts Receivable,0.0,493.8,USD
2023-01-10,1010,Cash,2325.06,0.0,USD
2023-01-10,4001,Revenue,0.0,2147.86,USD
2023-01-10,2200,Sales Tax Payable,0.0,177.2,USD
2023-01-10,5000,Cost of Goods Sold,1312.69,0.0,USD
2023-01-10,1200,Inventory,0.0,1312.69,USD
2023-01-10,1010,Cash,872.13,0.0,USD
2023-01-10,1100,Accounts Receivable,0.0,872.13,USD
2023-01-11,1010,Cash,689.73,0.0,USD
2023-01-11,4001,Revenue,0.0,637.16,USD
2023-01-11,2200,Sales Tax Payable,0.0,52.57,USD
2023-01-11,5000,Cost of Goods Sold,366.07,0.0,USD
2023-01-11,1200,Inventory,0.0,366.07,USD
2023-01-12,1010,Cash,1844.97,0.0,USD
2023-01-12,4001,Revenue,0.0,1704.36,USD
2023-01-12,2200,Sales Tax Payable,0.0,140.61,USD
2023-01-12,5000,Cost of Goods Sold,1019.65,0.0,USD
2023-01-12,1200,Inventory,0.0,1019.65,USD
2023-01-12,1200,Inventory,830.71,0.0,USD
2023-01-12,2000,Accounts Payable,0.0,830.71,USD
2023-01-12,2000,Accounts Payable,297.09,0.0,USD
2023-01-12,1010,Cash,0.0,297.09,USD
2023-01-13,1010,Cash,2116.68,0.0,USD
2023-01-13,4001,Revenue,0.0,1955.36,USD
2023-01-13,2200,Sales Tax Payable,0.0,161.32,USD
2023-01-13,5000,Cost of Goods Sold,1061.63,0.0,USD
2023-01-13,1200,Inventory,0.0,1061.63,USD
2023-01-13,1010,Cash,742.49,0.0,USD
2023-01-13,4010,Service Revenue,0.0,742.49,USD
2023-01-16,1010,Cash,345.79,0.0,USD
2023-01-16,4010,Service Revenue,0.0,345.79,USD
2023-01-16,1010,Cash,644.12,0.0,USD
2023-01-16,4001,Revenue,0.0,595.03,USD
2023-01-16,2200,Sales Tax Payable,0.0,49.09,USD
2023-01-16,5000,Cost of Goods Sold,354.39,0.0,USD
2023-01-16,1200,Inventory,0.0,354.39,USD
2023-01-16,1010,Cash,270.59,0.0,USD
2023-01-16,1100,Accounts Receivable,0.0,270.59,USD
2023-01-18,1010,Cash,1598.16,0.0,USD
2023-01-18,1100,Accounts Receivable,0.0,1598.16,USD
2023-01-18,2000,Accounts Payable,1247.37,0.0,USD
2023-01-18,1010,Cash,0.0,1247.37,USD
2023-01-18,6500,Office Supplies Expense,428.46,0.0,USD
2023-01-18,1010,Cash,0.0,428.46,USD
2023-01-19,1100,Accounts Receivable,3327.85,0.0,USD
2023-01-19,4001,Revenue,0.0,3074.23,USD
2023-01-19,2200,Sales Tax Payable,0.0,253.62,USD
2023-01-19,5000,Cost of Goods Sold,1848.28,0.0,USD
2023-01-19,1200,Inventory,0.0,1848.28,USD
2023-01-19,1010,Cash,1366.08,0.0,USD
2023-01-19,4001,Revenue,0.0,1261.97,USD
2023-01-19,2200,Sales Tax Payable,0.0,104.11,USD
2023-01-19,5000,Cost of Goods Sold,745.5,0.0,USD
2023-01-19,1200,Inventory,0.0,745.5,USD
2023-01-19,1010,Cash,695.94,0.0,USD
2023-01-19,4010,Service Revenue,0.0,695.94,USD
2023-01-19,1010,Cash,2151.97,0.0,USD
2023-01-19,1100,Accounts Receivable,0.0,2151.97,USD
2023-01-19,6600,Marketing Expense,323.91,0.0,USD
2023-01-19,1010,Cash,0.0,323.91,USD
2023-01-20,1010,Cash,773.04,0.0,USD
2023-01-20,4010,Service Revenue,0.0,773.04,USD
2023-01-23,1100,Accounts Receivable,1386.38,0.0,USD
2023-01-23,4001,Revenue,0.0,1280.72,USD
2023-01-23,2200,Sales Tax Payable,0.0,105.66,USD
2023-01-23,5000,Cost of Goods Sold,688.87,0.0,USD
2023-01-23,1200,Inventory,0.0,688.87,USD
2023-01-23,1010,Cash,2792.65,0.0,USD
2023-01-23,1100,Accounts Receivable,0.0,2792.65,USD
2023-01-23,1200,Inventory,593.94,0.0,USD
2023-01-23,2000,Accounts Payable,0.0,593.94,USD
2023-01-24,1010,Cash,861.98,0.0,USD
2023-01-24,4001,Revenue,0.0,796.29,USD
2023-01-24,2200,Sales Tax Payable,0.0,65.69,USD
2023-01-24,5000,Cost of Goods Sold,430.95,0.0,USD
2023-01-24,1200,Inventory,0.0,430.95,USD
2023-01-25,1010,Cash,2844.69,0.0,USD
2023-01-25,4001,Revenue,0.0,2627.89,USD
2023-01-25,2200,Sales Tax Payable,0.0,216.8,USD
2023-01-25,5000,Cost of Goods Sold,1614.53,0.0,USD
2023-01-25,1200,Inventory,0.0,1614.53,USD
2023-01-25,1200,Inventory,1037.48,0.0,USD
2023-01-25,1010,Cash,0.0,1037.48,USD
2023-01-26,1010,Cash,1722.72,0.0,USD
2023-01-26,4010,Service Revenue,0.0,1722.72,USD
2023-01-26,1200,Inventory,1078.14,0.0,USD
2023-01-26,2000,Accounts Payable,0.0,1078.14,USD
2023-01-26,2000,Accounts Payable,1338.34,0.0,USD
2023-01-26,1010,Cash,0.0,1338.34,USD
2023-01-26,6500,Office Supplies Expense,470.19,0.0,USD
2023-01-26,1010,Cash,0.0,470.19,USD
2023-01-27,1100,Accounts Receivable,2018.35,0.0,USD
2023-01-27,4001,Revenue,0.0,1864.53,USD
2023-01-27,2200,Sales Tax Payable,0.0,153.82,USD
2023-01-27,5000,Cost of Goods Sold,982.08,0.0,USD
2023-01-27,1200,Inventory,0.0,982.08,USD
2023-01-27,1100,Accounts Receivable,1224.85,0.0,USD
2023-01-27,4001,Revenue,0.0,1131.5,USD
2023-01-27,2200,Sales Tax Payable,0.0,93.35,USD
2023-01-27,5000,Cost of Goods Sold,653.09,0.0,USD
2023-01-27,1200,Inventory,0.0,653.09,USD
2023-01-27,1010,Cash,1925.44,0.0,USD
