TxnDate,TransactionID,AccountNumber,AccountName,Debit,Credit,Currency
2023-01-01,TXN-20230101,1010,Cash,80000.0,0.0,USD
2023-01-01,TXN-20230101,1100,Accounts Receivable,15000.0,0.0,USD
2023-01-01,TXN-20230101,1200,Inventory,25000.0,0.0,USD
2023-01-01,TXN-20230101,1300,Prepaid Expenses,3000.0,0.0,USD
2023-01-01,TXN-20230101,1500,"Property, Plant & Equipment",60000.0,0.0,USD
2023-01-01,TXN-20230101,1510,Accumulated Depreciation,0.0,10000.0,USD
2023-01-01,TXN-20230101,2000,Accounts Payable,0.0,18000.0,USD
2023-01-01,TXN-20230101,2100,Accrued Liabilities,0.0,5000.0,USD
2023-01-01,TXN-20230101,2300,Notes Payable,0.0,40000.0,USD
2023-01-01,TXN-20230101,3000,Common Stock,0.0,50000.0,USD
2023-01-01,TXN-20230101,3100,Retained Earnings,0.0,60000.0,USD
2023-01-02,TXN-20230102,1010,Cash,919.35,0.0,USD
2023-01-02,TXN-20230102,1100,Accounts Receivable,0.0,919.35,USD
2023-01-02,TXN-20230102,1200,Inventory,2701.05,0.0,USD
2023-01-02,TXN-20230102,2000,Accounts Payable,0.0,2701.05,USD
2023-01-02,TXN-20230102,2000,Accounts Payable,1159.68,0.0,USD
2023-01-02,TXN-20230102,1010,Cash,0.0,1159.68,USD
2023-01-03,TXN-20230103,1200,Inventory,7048.03,0.0,USD
2023-01-03,TXN-20230103,2000,Accounts Payable,0.0,7048.03,USD
2023-01-03,TXN-20230103,2000,Accounts Payable,1096.05,0.0,USD
2023-01-03,TXN-20230103,1010,Cash,0.0,1096.05,USD
2023-01-04,TXN-20230104,1100,Accounts Receivable,658.29,0.0,USD
2023-01-04,TXN-20230104,4001,Revenue,0.0,608.12,USD
2023-01-04,TXN-20230104,2200,Sales Tax Payable,0.0,50.17,USD
2023-01-04,TXN-20230104,5000,Cost of Goods Sold,374.14,0.0,USD
2023-01-04,TXN-20230104,1200,Inventory,0.0,374.14,USD
